run_id,party_victory,rounds_taken,side,name,init_total,init_order,damage_dealt_total,damage_taken_total,hits_landed,crits_landed,opening_burst_triggered,hunters_mark_cast,hunters_mark_bonus_damage
22,0,6,monsters,Goblin_3,8,7,17,0,3,0,0,0,0
22,0,6,monsters,Goblin_4,17,3,22,0,4,0,0,0,0
22,0,6,party,Fighter,22,1,13,32,1,1,0,0,0
22,0,6,party,Ranger,18,2,0,27,0,0,0,1,0
22,0,6,party,Rogue,13,5,0,25,0,0,0,0,0
23,1,9,monsters,Bugbear,21,1,20,36,2,1,0,0,0
23,1,9,monsters,Goblin_1,5,7,3,7,1,0,0,0,0
23,1,9,monsters,Goblin_2,9,5,6,7,1,0,0,0,0
23,1,9,monsters,Goblin_3,8,6,22,18,4,1,0,0,0
23,1,9,monsters,Goblin_4,4,8,23,11,5,0,0,0,0
23,1,9,party,Fighter,10,4,65,23,6,2,0,0,0
23,1,9,party,Ranger,11,3,14,30,1,0,0,1,3
23,1,9,party,Rogue,12,2,0,21,0,0,0,0,0
24,0,5,monsters,Bugbear,9,7,31,26,2,0,0,0,0
24,0,5,monsters,Goblin_1,13,5,5,0,1,0,0,0,0
24,0,5,monsters,Goblin_2,21,1,0,0,0,0,0,0,0
24,0,5,monsters,Goblin_3,3,8,20,0,2,2,0,0,0
24,0,5,monsters,Goblin_4,11,6,22,0,3,1,0,0,0
24,0,5,party,Fighter,17,3,10,32,1,0,0,0,0
24,0,5,party,Ranger,20,2,0,25,0,0,0,1,0
24,0,5,party,Rogue,14,4,16,21,1,0,1,0,0
25,1,7,monsters,Bugbear,11,3,0,33,0,0,0,0,0
25,1,7,monsters,Goblin_1,4,7,0,15,0,0,0,0,0
25,1,7,monsters,Goblin_2,10,5,0,9,0,0,0,0,0
25,1,7,monsters,Goblin_3,22,1,27,16,4,0,0,0,0
25,1,7,monsters,Goblin_4,4,8,12,11,2,0,0,0,0
25,1,7,party,Fighter,11,4,38,0,4,1,0,0,0
25,1,7,party,Ranger,8,6,23,11,3,0,0,1,1
25,1,7,party,Rogue,15,2,23,28,3,0,1,0,0
26,1,6,monsters,Bugbear,7,8,0,32,0,0,0,0,0
26,1,6,monsters,Goblin_1,15,4,10,9,2,0,0,0,0
26,1,6,monsters,Goblin_2,15,5,6,13,1,0,0,0,0
26,1,6,monsters,Goblin_3,11,7,12,17,2,1,0,0,0
26,1,6,monsters,Goblin_4,21,2,18,9,3,0,0,0,0
26,1,6,party,Fighter,18,3,41,0,5,0,0,0,0
26,1,6,party,Ranger,13,6,35,24,3,1,0,1,6
26,1,6,party,Rogue,22,1,4,22,1,0,0,0,0
27,1,7,monsters,Bugbear,14,6,10,33,1,0,0,0,0
27,1,7,monsters,Goblin_1,13,7,9,9,2,0,0,0,0
27,1,7,monsters,Goblin_2,8,8,4,11,1,0,0,0,0
27,1,7,monsters,Goblin_3,16,4,6,15,1,0,0,0,0
27,1,7,monsters,Goblin_4,19,2,9,13,2,0,0,0,0
27,1,7,party,Fighter,14,5,34,0,3,1,0,0,0
27,1,7,party,Ranger,17,3,22,14,4,0,0,1,0
27,1,7,party,Rogue,22,1,25,24,2,0,1,0,0
28,0,6,monsters,Bugbear,12,3,41,20,3,1,0,0,0
28,0,6,monsters,Goblin_1,12,2,4,0,1,0,0,0,0
28,0,6,monsters,Goblin_2,11,5,15,0,2,0,0,0,0
28,0,6,monsters,Goblin_3,13,1,29,0,4,2,0,0,0
28,0,6,monsters,Goblin_4,8,6,8,0,1,1,0,0,0
28,0,6,party,Fighter,12,4,20,45,3,0,0,0,0
28,0,6,party,Ranger,4,8,0,28,0,0,0,1,0
28,0,6,party,Rogue,7,7,0,24,0,0,0,0,0
29,1,6,monsters,Bugbear,16,4,15,32,1,0,0,0,0
29,1,6,monsters,Goblin_1,8,7,4,15,1,0,0,0,0
29,1,6,monsters,Goblin_2,20,2,6,7,2,0,0,0,0
29,1,6,monsters,Goblin_3,17,3,14,7,2,0,0,0,0
29,1,6,monsters,Goblin_4,3,8,16,10,2,1,0,0,0
29,1,6,party,Fighter,22,1,47,0,6,3,0,0,0
29,1,6,party,Ranger,9,6,13,34,2,0,0,1,2
29,1,6,party,Rogue,14,5,11,21,1,0,0,0,0
30,1,6,monsters,Bugbear,7,7,0,34,0,0,0,0,0
30,1,6,monsters,Goblin_1,20,1,0,7,0,0,0,0,0
30,1,6,monsters,Goblin_2,8,6,0,16,0,0,0,0,0
30,1,6,monsters,Goblin_3,12,4,5,7,1,0,0,0,0
30,1,6,monsters,Goblin_4,19,2,34,11,5,1,0,0,0
30,1,6,party,Fighter,5,8,40,0,5,3,0,0,0
30,1,6,party,Ranger,15,3,21,13,2,1,0,1,0
30,1,6,party,Rogue,8,5,14,26,1,0,1,0,0
31,1,9,monsters,Bugbear,11,4,23,30,2,0,0,0,0
31,1,9,monsters,Goblin_1,8,7,14,7,3,0,0,0,0
31,1,9,monsters,Goblin_2,20,3,0,11,0,0,0,0,0
31,1,9,monsters,Goblin_3,8,8,7,9,1,1,0,0,0
31,1,9,monsters,Goblin_4,21,2,12,12,3,0,0,0,0
31,1,9,party,Fighter,21,1,45,3,6,1,0,0,0
31,1,9,party,Ranger,9,6,14,27,1,1,0,1,4
31,1,9,party,Rogue,10,5,10,26,1,0,0,0,0
32,0,5,monsters,Bugbear,14,5,33,30,3,0,0,0,0
32,0,5,monsters,Goblin_1,13,6,0,0,0,0,0,0,0
32,0,5,monsters,Goblin_2,21,1,30,0,4,1,0,0,0
32,0,5,monsters,Goblin_3,16,2,9,0,2,0,0,0,0
32,0,5,monsters,Goblin_4,16,3,20,0,3,1,0,0,0
32,0,5,party,Fighter,3,8,15,37,2,0,0,0,0
32,0,5,party,Ranger,7,7,15,30,1,1,0,1,5
32,0,5,party,Rogue,15,4,0,25,0,0,0,0,0
33,1,14,monsters,Bugbear,18,1,0,32,0,0,0,0,0
33,1,14,monsters,Goblin_1,3,8,29,7,5,0,0,0,0
33,1,14,monsters,Goblin_2,12,3,4,14,1,0,0,0,0
33,1,14,monsters,Goblin_3,4,7,14,16,3,0,0,0,0
33,1,14,monsters,Goblin_4,8,5,20,13,3,1,0,0,0
33,1,14,party,Fighter,8,4,49,17,6,1,0,0,0
33,1,14,party,Ranger,6,6,7,29,1,0,0,1,0
33,1,14,party,Rogue,12,2,26,21,2,1,0,0,0
34,1,6,monsters,Bugbear,17,3,0,43,0,0,0,0,0
34,1,6,monsters,Goblin_1,16,5,0,8,0,0,0,0,0
34,1,6,monsters,Goblin_2,16,6,9,9,2,0,0,0,0
34,1,6,monsters,Goblin_3,17,4,20,12,3,1,0,0,0
34,1,6,monsters,Goblin_4,3,8,17,9,2,1,0,0,0
34,1,6,party,Fighter,13,7,21,0,2,1,0,0,0
34,1,6,party,Ranger,23,1,52,24,4,1,0,1,14
34,1,6,party,Rogue,20,2,8,22,1,0,0,0,0
35,1,5,monsters,Bugbear,18,3,0,31,0,0,0,0,0
35,1,5,monsters,Goblin_1,20,2,4,19,1,0,0,0,0
35,1,5,monsters,Goblin_2,4,7,14,13,2,0,0,0,0
35,1,5,monsters,Goblin_3,8,6,14,8,3,0,0,0,0
35,1,5,monsters,Goblin_4,3,8,10,12,2,0,0,0,0
35,1,5,party,Fighter,17,4,25,0,3,1,0,0,0
35,1,5,party,Ranger,20,1,51,21,5,1,0,1,4
35,1,5,party,Rogue,16,5,7,21,1,0,0,0,0
36,1,7,monsters,Bugbear,14,5,0,39,0,0,0,0,0
36,1,7,monsters,Goblin_1,16,4,7,11,1,0,0,0,0
36,1,7,monsters,Goblin_2,12,6,6,14,1,0,0,0,0
36,1,7,monsters,Goblin_3,9,7,9,12,2,0,0,0,0
36,1,7,monsters,Goblin_4,7,8,19,8,4,0,0,0,0
36,1,7,party,Fighter,19,2,19,0,2,0,0,0,0
36,1,7,party,Ranger,17,3,52,16,6,1,0,1,16
36,1,7,party,Rogue,23,1,13,25,1,0,1,0,0
37,0,3,monsters,Bugbear,17,4,41,15,3,1,0,0,0
37,0,3,monsters,Goblin_1,8,7,21,0,2,1,0,0,0
37,0,3,monsters,Goblin_2,11,6,0,0,0,0,0,0,0
37,0,3,monsters,Goblin_3,22,1,20,0,3,0,0,0,0
37,0,3,monsters,Goblin_4,21,2,0,0,0,0,0,0,0
37,0,3,party,Fighter,21,3,15,32,2,1,0,0,0
37,0,3,party,Ranger,14,5,0,26,0,0,0,1,0
37,0,3,party,Rogue,4,8,0,24,0,0,0,0,0
38,0,6,monsters,Bugbear,22,2,40,11,2,1,0,0,0
38,0,6,monsters,Goblin_1,22,1,9,0,2,0,0,0,0
38,0,6,monsters,Goblin_2,4,8,10,0,2,0,0,0,0
38,0,6,monsters,Goblin_3,10,5,12,0,2,0,0,0,0
38,0,6,monsters,Goblin_4,7,6,20,0,4,0,0,0,0
38,0,6,party,Fighter,20,3,0,40,0,0,0,0,0
38,0,6,party,Ranger,12,4,11,28,1,0,0,1,5
38,0,6,party,Rogue,4,7,0,23,0,0,0,0,0
39,1,10,monsters,Bugbear,6,7,0,29,0,0,0,0,0
39,1,10,monsters,Goblin_1,14,3,0,11,0,0,0,0,0
39,1,10,monsters,Goblin_2,19,2,16,8,2,0,0,0,0
39,1,10,monsters,Goblin_3,9,6,11,11,2,0,0,0,0
39,1,10,monsters,Goblin_4,11,4,34,14,5,1,0,0,0
39,1,10,party,Fighter,4,8,31,6,4,0,0,0,0
39,1,10,party,Ranger,10,5,26,32,3,0,0,1,2
39,1,10,party,Rogue,19,1,16,23,1,0,1,0,0
40,1,7,monsters,Bugbear,11,6,5,34,1,0,0,0,0
40,1,7,monsters,Goblin_1,15,4,7,7,1,0,0,0,0
40,1,7,monsters,Goblin_2,14,5,11,9,2,0,0,0,0
40,1,7,monsters,Goblin_3,3,8,3,11,1,0,0,0,0
40,1,7,monsters,Goblin_4,7,7,26,11,5,1,0,0,0
40,1,7,party,Fighter,19,3,27,0,3,0,0,0,0
40,1,7,party,Ranger,20,2,31,31,3,0,0,1,7
40,1,7,party,Rogue,22,1,14,21,1,0,1,0,0
41,0,8,monsters,Bugbear,20,1,24,34,2,0,0,0,0
41,0,8,monsters,Goblin_1,11,5,10,12,3,0,0,0,0
41,0,8,monsters,Goblin_2,8,6,8,0,2,0,0,0,0
41,0,8,monsters,Goblin_3,14,3,14,0,2,0,0,0,0
41,0,8,monsters,Goblin_4,20,2,28,0,5,1,0,0,0
41,0,8,party,Fighter,4,8,30,28,3,1,0,0,0
41,0,8,party,Ranger,4,7,8,28,1,0,0,1,1
41,0,8,party,Rogue,11,4,8,28,1,0,0,0,0
42,0,6,monsters,Bugbear,7,6,20,8,2,0,0,0,0
42,0,6,monsters,Goblin_1,9,3,7,0,1,0,0,0,0
42,0,6,monsters,Goblin_2,3,8,17,0,3,0,0,0,0
42,0,6,monsters,Goblin_3,11,2,13,0,2,0,0,0,0
42,0,6,monsters,Goblin_4,14,1,22,0,4,0,0,0,0
42,0,6,party,Fighter,8,4,8,30,2,0,0,0,0
42,0,6,party,Ranger,7,5,0,27,0,0,0,1,0
42,0,6,party,Rogue,5,7,0,22,0,0,0,0,0
43,0,7,monsters,Bugbear,15,2,47,38,3,2,0,0,0
43,0,7,monsters,Goblin_1,15,3,15,10,3,0,0,0,0
43,0,7,monsters,Goblin_2,7,7,8,9,1,0,0,0,0
43,0,7,monsters,Goblin_3,19,1,27,0,4,1,0,0,0
43,0,7,monsters,Goblin_4,3,8,7,0,1,0,0,0,0
43,0,7,party,Fighter,13,5,35,29,4,0,0,0,0
43,0,7,party,Ranger,11,6,22,29,2,0,0,1,3
43,0,7,party,Rogue,14,4,0,46,0,0,0,0,0
44,1,12,monsters,Bugbear,20,2,19,35,2,0,0,0,0
44,1,12,monsters,Goblin_1,3,8,0,8,0,0,0,0,0
44,1,12,monsters,Goblin_2,13,5,22,7,3,1,0,0,0
44,1,12,monsters,Goblin_3,7,7,8,9,2,0,0,0,0
44,1,12,monsters,Goblin_4,8,6,28,17,6,0,0,0,0
44,1,12,party,Fighter,18,3,59,18,7,2,0,0,0
44,1,12,party,Ranger,15,4,17,30,2,0,0,1,7
44,1,12,party,Rogue,22,1,0,29,0,0,0,0,0
45,0,7,monsters,Bugbear,20,4,25,31,2,0,0,0,0
45,0,7,monsters,Goblin_1,22,1,12,7,2,1,0,0,0
45,0,7,monsters,Goblin_2,18,6,26,4,4,1,0,0,0
45,0,7,monsters,Goblin_3,20,3,19,0,3,1,0,0,0
45,0,7,monsters,Goblin_4,14,7,8,0,1,0,0,0,0
45,0,7,party,Fighter,9,8,18,31,3,0,0,0,0
45,0,7,party,Ranger,18,5,0,30,0,0,0,1,0
45,0,7,party,Rogue,20,2,24,29,2,0,1,0,0
46,1,3,monsters,Bugbear,18,3,0,35,0,0,0,0,0
46,1,3,monsters,Goblin_1,7,6,8,14,1,0,0,0,0
46,1,3,monsters,Goblin_2,3,8,7,11,1,0,0,0,0
46,1,3,monsters,Goblin_3,20,2,6,17,1,0,0,0,0
46,1,3,monsters,Goblin_4,11,5,3,11,1,0,0,0,0
46,1,3,party,Fighter,4,7,28,0,3,0,0,0,0
46,1,3,party,Ranger,17,4,35,0,3,0,0,1,5
46,1,3,party,Rogue,21,1,25,24,2,0,1,0,0
47,1,5,monsters,Bugbear,18,2,13,27,1,0,0,0,0
47,1,5,monsters,Goblin_1,6,7,0,15,0,0,0,0,0
47,1,5,monsters,Goblin_2,15,4,13,10,2,1,0,0,0
47,1,5,monsters,Goblin_3,11,6,14,7,2,0,0,0,0
47,1,5,monsters,Goblin_4,6,8,6,9,1,0,0,0,0
47,1,5,party,Fighter,18,3,7,0,1,0,0,0,0
47,1,5,party,Ranger,14,5,34,18,3,0,0,1,5
47,1,5,party,Rogue,20,1,27,28,2,1,1,0,0
48,0,7,monsters,Bugbear,19,3,15,31,1,0,0,0,0
48,0,7,monsters,Goblin_1,20,2,20,9,3,1,0,0,0
48,0,7,monsters,Goblin_2,13,6,23,15,4,0,0,0,0
48,0,7,monsters,Goblin_3,18,4,13,0,2,0,0,0,0
48,0,7,monsters,Goblin_4,6,7,27,0,4,1,0,0,0
48,0,7,party,Fighter,5,8,32,34,4,1,0,0,0
48,0,7,party,Ranger,22,1,16,29,1,0,0,1,6
48,0,7,party,Rogue,17,5,7,35,1,0,0,0,0
49,1,5,monsters,Bugbear,16,2,0,27,0,0,0,0,0
49,1,5,monsters,Goblin_1,8,7,8,8,1,0,0,0,0
49,1,5,monsters,Goblin_2,13,5,7,10,1,0,0,0,0
49,1,5,monsters,Goblin_3,7,8,7,17,1,0,0,0,0
49,1,5,monsters,Goblin_4,11,6,8,7,1,0,0,0,0
49,1,5,party,Fighter,15,3,21,0,3,0,0,0,0
49,1,5,party,Ranger,13,4,27,8,3,0,0,1,2
49,1,5,party,Rogue,18,1,21,22,1,1,1,0,0
50,1,9,monsters,Bugbear,11,3,0,32,0,0,0,0,0
50,1,9,monsters,Goblin_1,14,2,18,7,3,0,0,0,0
50,1,9,monsters,Goblin_2,5,8,21,11,4,0,0,0,0
50,1,9,monsters,Goblin_3,9,5,5,11,1,0,0,0,0
50,1,9,monsters,Goblin_4,8,6,25,11,5,0,0,0,0
50,1,9,party,Fighter,6,7,57,22,6,1,0,0,0
50,1,9,party,Ranger,20,1,8,26,1,0,0,1,2
50,1,9,party,Rogue,9,4,7,21,1,0,0,0,0
51,1,3,monsters,Bugbear,7,7,0,31,0,0,0,0,0
51,1,3,monsters,Goblin_1,9,6,0,9,0,0,0,0,0
51,1,3,monsters,Goblin_2,20,2,0,16,0,0,0,0,0
51,1,3,monsters,Goblin_3,21,1,7,8,1,0,0,0,0
51,1,3,monsters,Goblin_4,15,4,5,7,1,0,0,0,0
51,1,3,party,Fighter,16,3,25,0,3,1,0,0,0
51,1,3,party,Ranger,6,8,16,0,2,1,0,1,0
51,1,3,party,Rogue,12,5,30,12,3,0,1,0,0
52,1,10,monsters,Bugbear,4,7,9,39,1,0,0,0,0
52,1,10,monsters,Goblin_1,14,2,14,14,3,0,0,0,0
52,1,10,monsters,Goblin_2,4,8,0,13,0,0,0,0,0
52,1,10,monsters,Goblin_3,8,5,13,8,3,0,0,0,0
52,1,10,monsters,Goblin_4,14,1,35,14,5,2,0,0,0
